"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1952,25
"ALBANIA",1952,102
"ALGERIA",1952,1062
"ANGOLA",1952,85
"ARGENTINA",1952,9853
"AUSTRALIA",1952,16432
"AUSTRIA",1952,6025
"BAHAMAS",1952,21
"BAHRAIN",1952,351
"BARBADOS",1952,24
"BELGIUM",1952,22784
"BELIZE",1952,7
"BERMUDA",1952,29
"BRAZIL",1952,6807
"BRUNEI (DARUSSALAM)",1952,88
"BULGARIA",1952,2574
"CANADA",1952,43510
"CAPE VERDE",1952,10
"CHILE",1952,2895
"CHINA (MAINLAND)",1952,34995
"COLOMBIA",1952,2357
"COSTA RICA",1952,106
"CUBA",1952,1715
"CYPRUS",1952,86
"CZECHOSLOVAKIA",1952,23757
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1952,243
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1952,569
"DENMARK",1952,6251
"DJIBOUTI",1952,7
"DOMINICA",1952,2
"DOMINICAN REPUBLIC",1952,162
"EAST & WEST PAKISTAN",1952,2260
"ECUADOR",1952,244
"EGYPT",1952,2974
"EL SALVADOR",1952,106
"EQUATORIAL GUINEA",1952,3
"ETHIOPIA",1952,27
"FAEROE ISLANDS",1952,15
"FALKLAND ISLANDS (MALVINAS)",1952,69
"FEDERAL REPUBLIC OF GERMANY",1952,115080
"FEDERATION OF MALAYA-SINGAPORE",1952,2555
"FIJI",1952,43
"FINLAND",1952,2363
"FORMER DEMOCRATIC YEMEN",1952,8
"FORMER GERMAN DEMOCRATIC REPUBLIC",1952,51689
"FORMER PANAMA CANAL ZONE",1952,52
"FORMER YEMEN",1952,8
"FRANCE (INCLUDING MONACO)",1952,61960
"FRENCH EQUATORIAL AFRICA",1952,83
"FRENCH GUIANA",1952,3
"FRENCH INDO-CHINA",1952,509
"FRENCH WEST AFRICA",1952,331
"GAMBIA",1952,3
"GHANA",1952,237
"GIBRALTAR",1952,20
"GREECE",1952,1310
"GREENLAND",1952,29
"GRENADA",1952,3
"GUADELOUPE",1952,18
"GUATEMALA",1952,176
"GUINEA BISSAU",1952,3
"GUYANA",1952,92
"HAITI",1952,40
"HONDURAS",1952,98
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1952,419
"HUNGARY",1952,7427
"ICELAND",1952,212
"INDIA",1952,20058
"INDONESIA",1952,3472
"IRAQ",1952,535
"IRELAND",1952,2626
"ISLAMIC REPUBLIC OF IRAN",1952,1117
"ISRAEL",1952,999
"ITALY (INCLUDING SAN MARINO)",1952,13823
"JAMAICA",1952,154
"JAPAN",1952,35599
"JORDAN",1952,53
"KENYA",1952,434
"KUWAIT",1952,-119
"LEBANON",1952,321
"LEEWARD ISLANDS",1952,6
"LIBERIA",1952,15
"LIBYAN ARAB JAMAHIRIYAH",1952,45
"LUXEMBOURG",1952,2566
"MADAGASCAR",1952,84
"MALTA",1952,66
"MARTINIQUE",1952,25
"MAURITIUS",1952,48
"MEXICO",1952,10158
"MONGOLIA",1952,82
"MOROCCO",1952,973
"MOZAMBIQUE",1952,293
"MYANMAR (FORMERLY BURMA)",1952,309
"NEPAL",1952,8
"NETHERLAND ANTILLES AND ARUBA",1952,1824
"NETHERLANDS",1952,14934
"NEW CALEDONIA",1952,129
"NEW ZEALAND",1952,2544
"NICARAGUA",1952,75
"NIGERIA",1952,595
"NORWAY",1952,2644
"PANAMA",1952,196
"PAPUA NEW GUINEA",1952,23
"PARAGUAY",1952,28
"PERU",1952,1416
"PHILIPPINES",1952,1106
"PLURINATIONAL STATE OF BOLIVIA",1952,140
"POLAND",1952,34949
"PORTUGAL",1952,1461
"QATAR",1952,53
"REPUBLIC OF CAMEROON",1952,77
"REPUBLIC OF KOREA",1952,945
"REUNION",1952,9
"RHODESIA-NYASALAND",1952,1945
"ROMANIA",1952,7270
"RWANDA-URUNDI",1952,13
"RYUKYU ISLANDS",1952,6
"SABAH",1952,14
"SAINT LUCIA",1952,2
"SAMOA",1952,2
"SAO TOME & PRINCIPE",1952,1
"SARAWAK",1952,109
"SAUDI ARABIA",1952,-47
"SIERRA LEONE",1952,49
"SOLOMON ISLANDS",1952,1
"SOMALIA",1952,13
"SOUTH AFRICA",1952,19348
"SPAIN",1952,10266
"SRI LANKA",1952,529
"ST. PIERRE & MIQUELON",1952,9
"ST. VINCENT & THE GRENADINES",1952,3
"SUDAN",1952,207
"SURINAME",1952,73
"SWAZILAND",1952,1
"SWEDEN",1952,9424
"SWITZERLAND",1952,3065
"SYRIAN ARAB REPUBLIC",1952,130
"TAIWAN",1952,1745
"TANGANYIKA",1952,142
"THAILAND",1952,349
"TOGO",1952,12
"TONGA",1952,2
"TRINIDAD AND TOBAGO",1952,763
"TUNISIA",1952,394
"TURKEY",1952,2859
"UGANDA",1952,39
"UNITED KINGDOM",1952,144221
"UNITED STATES OF AMERICA",1952,694618
"URUGUAY",1952,861
"USSR",1952,215076
"VENEZUELA",1952,13850
"YUGOSLAVIA (FORMER SOCIALIST FEDERAL REPUBLIC)",1952,4594
"ZANZIBAR",1952,5
