"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1950,23
"ALBANIA",1950,81
"ALGERIA",1950,1033
"ANGOLA",1950,51
"ARGENTINA",1950,8168
"AUSTRALIA",1950,14941
"AUSTRIA",1950,5704
"BAHAMAS",1950,15
"BAHRAIN",1950,377
"BARBADOS",1950,20
"BELGIUM",1950,20801
"BELIZE",1950,5
"BERMUDA",1950,12
"BRAZIL",1950,5367
"BRUNEI (DARUSSALAM)",1950,113
"BULGARIA",1950,2047
"CANADA",1950,42070
"CAPE VERDE",1950,28
"CHILE",1950,2307
"CHINA (MAINLAND)",1950,21465
"COLOMBIA",1950,2047
"COSTA RICA",1950,78
"CUBA",1950,1530
"CYPRUS",1950,73
"CZECHOSLOVAKIA",1950,20851
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1950,213
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1950,404
"DENMARK",1950,6002
"DJIBOUTI",1950,3
"DOMINICAN REPUBLIC",1950,95
"EAST & WEST PAKISTAN",1950,1733
"ECUADOR",1950,202
"EGYPT",1950,2794
"EL SALVADOR",1950,73
"EQUATORIAL GUINEA",1950,3
"ETHIOPIA",1950,24
"FAEROE ISLANDS",1950,11
"FALKLAND ISLANDS (MALVINAS)",1950,75
"FEDERAL REPUBLIC OF GERMANY",1950,94786
"FEDERATION OF MALAYA-SINGAPORE",1950,1421
"FIJI",1950,33
"FINLAND",1950,1787
"FORMER DEMOCRATIC YEMEN",1950,9
"FORMER GERMAN DEMOCRATIC REPUBLIC",1950,44606
"FORMER PANAMA CANAL ZONE",1950,53
"FORMER YEMEN",1950,7
"FRANCE (INCLUDING MONACO)",1950,55215
"FRENCH EQUATORIAL AFRICA",1950,48
"FRENCH GUIANA",1950,2
"FRENCH INDO-CHINA",1950,404
"FRENCH WEST AFRICA",1950,354
"GAMBIA",1950,4
"GHANA",1950,174
"GIBRALTAR",1950,32
"GREECE",1950,1127
"GREENLAND",1950,27
"GRENADA",1950,2
"GUADELOUPE",1950,17
"GUATEMALA",1950,169
"GUINEA BISSAU",1950,2
"GUYANA",1950,71
"HAITI",1950,31
"HONDURAS",1950,82
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1950,360
"HUNGARY",1950,5020
"ICELAND",1950,202
"INDIA",1950,18178
"INDONESIA",1950,2683
"IRAQ",1950,450
"IRELAND",1950,2655
"ISLAMIC REPUBLIC OF IRAN",1950,-1473
"ISRAEL",1950,456
"ITALY (INCLUDING SAN MARINO)",1950,11313
"JAMAICA",1950,74
"JAPAN",1950,27991
"JORDAN",1950,47
"KENYA",1950,248
"KUWAIT",1950,105
"LEBANON",1950,413
"LEEWARD ISLANDS",1950,5
"LIBERIA",1950,13
"LIBYAN ARAB JAMAHIRIYAH",1950,39
"LUXEMBOURG",1950,2025
"MADAGASCAR",1950,83
"MALTA",1950,67
"MARTINIQUE",1950,15
"MAURITIUS",1950,55
"MEXICO",1950,8328
"MONGOLIA",1950,78
"MOROCCO",1950,699
"MOZAMBIQUE",1950,246
"MYANMAR (FORMERLY BURMA)",1950,219
"NEPAL",1950,7
"NETHERLAND ANTILLES AND ARUBA",1950,2003
"NETHERLANDS",1950,13998
"NEW CALEDONIA",1950,60
"NEW ZEALAND",1950,2339
"NICARAGUA",1950,52
"NIGERIA",1950,616
"NORWAY",1950,2302
"PANAMA",1950,141
"PAPUA NEW GUINEA",1950,15
"PARAGUAY",1950,17
"PERU",1950,1240
"PHILIPPINES",1950,984
"PLURINATIONAL STATE OF BOLIVIA",1950,135
"POLAND",1950,30604
"PORTUGAL",1950,1534
"QATAR",1950,96
"REPUBLIC OF CAMEROON",1950,38
"REPUBLIC OF KOREA",1950,596
"REUNION",1950,7
"RHODESIA-NYASALAND",1950,1568
"ROMANIA",1950,5300
"RWANDA-URUNDI",1950,7
"SABAH",1950,12
"SAINT LUCIA",1950,1
"SAMOA",1950,1
"SARAWAK",1950,87
"SAUDI ARABIA",1950,1403
"SIERRA LEONE",1950,43
"SOMALIA",1950,13
"SOUTH AFRICA",1950,16659
"SPAIN",1950,9019
"SRI LANKA",1950,444
"ST. PIERRE & MIQUELON",1950,4
"ST. VINCENT & THE GRENADINES",1950,1
"SUDAN",1950,150
"SURINAME",1950,58
"SWAZILAND",1950,1
"SWEDEN",1950,7823
"SWITZERLAND",1950,2794
"SYRIAN ARAB REPUBLIC",1950,113
"TAIWAN",1950,1033
"TANGANYIKA",1950,129
"THAILAND",1950,261
"TOGO",1950,7
"TONGA",1950,2
"TRINIDAD AND TOBAGO",1950,642
"TUNISIA",1950,333
"TURKEY",1950,2590
"UGANDA",1950,29
"UNITED KINGDOM",1950,136583
"UNITED STATES OF AMERICA",1950,692124
"URUGUAY",1950,670
"USSR",1950,185316
"VENEZUELA",1950,10447
"YUGOSLAVIA (FORMER SOCIALIST FEDERAL REPUBLIC)",1950,4833
"ZANZIBAR",1950,7
