"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",2012,2933
"ALBANIA",2012,1339
"ALGERIA",2012,35448
"ANDORRA",2012,133
"ANGOLA",2012,9108
"ANGUILLA",2012,39
"ANTIGUA & BARBUDA",2012,143
"ARGENTINA",2012,52456
"ARMENIA",2012,1553
"ARUBA",2012,368
"AUSTRALIA",2012,105843
"AUSTRIA",2012,16982
"AZERBAIJAN",2012,9696
"BAHAMAS",2012,537
"BAHRAIN",2012,7274
"BANGLADESH",2012,18409
"BARBADOS",2012,401
"BELARUS",2012,17241
"BELGIUM",2012,25936
"BELIZE",2012,130
"BENIN",2012,1492
"BERMUDA",2012,130
"BHUTAN",2012,223
"BONAIRE, SAINT EUSTATIUS, AND SABA",2012,85
"BOSNIA & HERZEGOVINA",2012,6070
"BOTSWANA",2012,1154
"BRAZIL",2012,128178
"BRITISH VIRGIN ISLANDS",2012,48
"BRUNEI (DARUSSALAM)",2012,2636
"BULGARIA",2012,12192
"BURKINA FASO",2012,717
"BURUNDI",2012,77
"CAMBODIA",2012,1488
"CANADA",2012,141112
"CAPE VERDE",2012,138
"CAYMAN ISLANDS",2012,146
"CENTRAL AFRICAN REPUBLIC",2012,80
"CHAD",2012,167
"CHILE",2012,22082
"CHINA (MAINLAND)",2012,2734817
"COLOMBIA",2012,21803
"COMOROS",2012,39
"CONGO",2012,810
"COOK ISLANDS",2012,19
"COSTA RICA",2012,2118
"COTE D IVOIRE",2012,2535
"CROATIA",2012,4907
"CUBA",2012,9860
"CURACAO",2012,1636
"CYPRUS",2012,1887
"CZECH REPUBLIC",2012,27551
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",2012,13378
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",2012,655
"DENMARK",2012,9934
"DJIBOUTI",2012,141
"DOMINICA",2012,37
"DOMINICAN REPUBLIC",2012,6033
"ECUADOR",2012,10401
"EGYPT",2012,59195
"EL SALVADOR",2012,1817
"EQUATORIAL GUINEA",2012,1395
"ERITREA",2012,180
"ESTONIA",2012,4806
"ETHIOPIA",2012,2335
"FAEROE ISLANDS",2012,161
"FALKLAND ISLANDS (MALVINAS)",2012,15
"FEDERATED STATES OF MICRONESIA",2012,37
"FIJI",2012,289
"FINLAND",2012,13399
"FRANCE (INCLUDING MONACO)",2012,90872
"FRENCH GUIANA",2012,161
"FRENCH POLYNESIA",2012,222
"GABON",2012,1392
"GAMBIA",2012,124
"GEORGIA",2012,2302
"GERMANY",2012,201762
"GHANA",2012,3239
"GIBRALTAR",2012,126
"GREECE",2012,21828
"GREENLAND",2012,155
"GRENADA",2012,74
"GUADELOUPE",2012,694
"GUATEMALA",2012,3265
"GUINEA",2012,704
"GUINEA BISSAU",2012,69
"GUYANA",2012,544
"HAITI",2012,631
"HONDURAS",2012,2450
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",2012,11842
"HUNGARY",2012,12158
"ICELAND",2012,491
"INDIA",2012,550451
"INDONESIA",2012,173733
"IRAQ",2012,41648
"IRELAND",2012,9706
"ISLAMIC REPUBLIC OF IRAN",2012,166828
"ISRAEL",2012,20597
"ITALY (INCLUDING SAN MARINO)",2012,100755
"JAMAICA",2012,2035
"JAPAN",2012,335470
"JORDAN",2012,6666
"KAZAKHSTAN",2012,66259
"KENYA",2012,3413
"KIRIBATI",2012,17
"KUWAIT",2012,27907
"KYRGYZSTAN",2012,2763
"LAO PEOPLE S DEMOCRATIC REPUBLIC",2012,463
"LATVIA",2012,1926
"LEBANON",2012,6172
"LESOTHO",2012,656
"LIBERIA",2012,280
"LIBYAN ARAB JAMAHIRIYAH",2012,14367
"LIECHTENSTEIN",2012,13
"LITHUANIA",2012,3772
"LUXEMBOURG",2012,2908
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",2012,358
"MACEDONIA",2012,2445
"MADAGASCAR",2012,738
"MALAWI",2012,299
"MALAYSIA",2012,59642
"MALDIVES",2012,303
"MALI",2012,271
"MALTA",2012,731
"MARSHALL ISLANDS",2012,28
"MARTINIQUE",2012,604
"MAURITANIA",2012,724
"MAURITIUS",2012,1082
"MEXICO",2012,135349
"MONGOLIA",2012,7152
"MONTENEGRO",2012,637
"MONTSERRAT",2012,12
"MOROCCO",2012,17107
"MOZAMBIQUE",2012,851
"MYANMAR (FORMERLY BURMA)",2012,3019
"NAMIBIA",2012,923
"NAURU",2012,11
"NEPAL",2012,1597
"NETHERLANDS",2012,46444
"NEW CALEDONIA",2012,990
"NEW ZEALAND",2012,9313
"NICARAGUA",2012,1260
"NIGER",2012,509
"NIGERIA",2012,26862
"NIUE",2012,2
"NORWAY",2012,13605
"OCCUPIED PALESTINIAN TERRITORY",2012,600
"OMAN",2012,16133
"PAKISTAN",2012,44586
"PALAU",2012,69
"PANAMA",2012,2758
"PAPUA NEW GUINEA",2012,1385
"PARAGUAY",2012,1441
"PERU",2012,15018
"PHILIPPINES",2012,24872
"PLURINATIONAL STATE OF BOLIVIA",2012,5125
"POLAND",2012,81792
"PORTUGAL",2012,12548
