"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1953,29
"ALBANIA",1953,113
"ALGERIA",1953,1092
"ANGOLA",1953,75
"ARGENTINA",1953,9591
"AUSTRALIA",1953,16223
"AUSTRIA",1953,5928
"BAHAMAS",1953,22
"BAHRAIN",1953,272
"BARBADOS",1953,30
"BELGIUM",1953,22487
"BELIZE",1953,8
"BERMUDA",1953,25
"BRAZIL",1953,6885
"BRUNEI (DARUSSALAM)",1953,94
"BULGARIA",1953,2890
"CANADA",1953,43838
"CAPE VERDE",1953,5
"CHILE",1953,2840
"CHINA (MAINLAND)",1953,36600
"COLOMBIA",1953,2938
"COSTA RICA",1953,118
"CUBA",1953,1690
"CYPRUS",1953,100
"CZECHOSLOVAKIA",1953,24623
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1953,474
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1953,625
"DENMARK",1953,6320
"DJIBOUTI",1953,8
"DOMINICA",1953,1
"DOMINICAN REPUBLIC",1953,169
"EAST & WEST PAKISTAN",1953,2300
"ECUADOR",1953,224
"EGYPT",1953,2943
"EL SALVADOR",1953,114
"EQUATORIAL GUINEA",1953,3
"ETHIOPIA",1953,50
"FAEROE ISLANDS",1953,23
"FALKLAND ISLANDS (MALVINAS)",1953,28
"FEDERAL REPUBLIC OF GERMANY",1953,112933
"FEDERATION OF MALAYA-SINGAPORE",1953,2585
"FIJI",1953,46
"FINLAND",1953,2066
"FORMER DEMOCRATIC YEMEN",1953,11
"FORMER GERMAN DEMOCRATIC REPUBLIC",1953,57254
"FORMER PANAMA CANAL ZONE",1953,28
"FORMER YEMEN",1953,8
"FRANCE (INCLUDING MONACO)",1953,58566
"FRENCH EQUATORIAL AFRICA",1953,70
"FRENCH GUIANA",1953,3
"FRENCH INDO-CHINA",1953,478
"FRENCH WEST AFRICA",1953,275
"GAMBIA",1953,3
"GHANA",1953,278
"GIBRALTAR",1953,18
"GREECE",1953,1334
"GREENLAND",1953,33
"GRENADA",1953,3
"GUADELOUPE",1953,18
"GUATEMALA",1953,186
"GUINEA BISSAU",1953,2
"GUYANA",1953,123
"HAITI",1953,43
"HONDURAS",1953,91
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1953,472
"HUNGARY",1953,8671
"ICELAND",1953,250
"INDIA",1953,20436
"INDONESIA",1953,3570
"IRAQ",1953,690
"IRELAND",1953,2603
"ISLAMIC REPUBLIC OF IRAN",1953,1045
"ISRAEL",1953,1103
"ITALY (INCLUDING SAN MARINO)",1953,15291
"JAMAICA",1953,168
"JAPAN",1953,39794
"JORDAN",1953,58
"KENYA",1953,413
"KUWAIT",1953,-14
"LEBANON",1953,341
"LEEWARD ISLANDS",1953,7
"LIBERIA",1953,16
"LIBYAN ARAB JAMAHIRIYAH",1953,68
"LUXEMBOURG",1953,2362
"MADAGASCAR",1953,69
"MALTA",1953,63
"MARTINIQUE",1953,25
"MAURITIUS",1953,51
"MEXICO",1953,10020
"MONGOLIA",1953,83
"MOROCCO",1953,1139
"MOZAMBIQUE",1953,295
"MYANMAR (FORMERLY BURMA)",1953,356
"NEPAL",1953,10
"NETHERLAND ANTILLES AND ARUBA",1953,2111
"NETHERLANDS",1953,15084
"NEW CALEDONIA",1953,109
"NEW ZEALAND",1953,2334
"NICARAGUA",1953,78
"NIGERIA",1953,665
"NORWAY",1953,2671
"PANAMA",1953,195
"PAPUA NEW GUINEA",1953,26
"PARAGUAY",1953,33
"PERU",1953,1505
"PHILIPPINES",1953,1101
"PLURINATIONAL STATE OF BOLIVIA",1953,147
"POLAND",1953,37993
"PORTUGAL",1953,1619
"QATAR",1953,100
"REPUBLIC OF CAMEROON",1953,55
"REPUBLIC OF KOREA",1953,1281
"REUNION",1953,6
"RHODESIA-NYASALAND",1953,2120
"ROMANIA",1953,8361
"RWANDA-URUNDI",1953,12
"RYUKYU ISLANDS",1953,36
"SABAH",1953,16
"SAINT LUCIA",1953,3
"SAMOA",1953,2
"SAO TOME & PRINCIPE",1953,1
"SARAWAK",1953,123
"SAUDI ARABIA",1953,130
"SIERRA LEONE",1953,46
"SOLOMON ISLANDS",1953,1
"SOMALIA",1953,13
"SOUTH AFRICA",1953,19379
"SPAIN",1953,10629
"SRI LANKA",1953,564
"ST. PIERRE & MIQUELON",1953,8
"ST. VINCENT & THE GRENADINES",1953,2
"SUDAN",1953,227
"SURINAME",1953,85
"SWAZILAND",1953,1
"SWEDEN",1953,8886
"SWITZERLAND",1953,2822
"SYRIAN ARAB REPUBLIC",1953,140
"TAIWAN",1953,1767
"TANGANYIKA",1953,138
"THAILAND",1953,449
"TOGO",1953,8
"TONGA",1953,2
"TRINIDAD AND TOBAGO",1953,801
"TUNISIA",1953,376
"TURKEY",1953,3539
"UGANDA",1953,57
"UNITED KINGDOM",1953,147404
"UNITED STATES OF AMERICA",1953,711175
"URUGUAY",1953,957
"USSR",1953,227542
"VENEZUELA",1953,13062
"YUGOSLAVIA (FORMER SOCIALIST FEDERAL REPUBLIC)",1953,4562
"ZANZIBAR",1953,6
