"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1955,42
"ALBANIA",1955,181
"ALGERIA",1955,1258
"ANGOLA",1955,113
"ARGENTINA",1955,10799
"AUSTRALIA",1955,19291
"AUSTRIA",1955,7936
"BAHAMAS",1955,35
"BAHRAIN",1955,383
"BARBADOS",1955,35
"BELGIUM",1955,25119
"BELIZE",1955,8
"BERMUDA",1955,30
"BRAZIL",1955,9289
"BRUNEI (DARUSSALAM)",1955,82
"BULGARIA",1955,3301
"CAMBODIA",1955,28
"CANADA",1955,46258
"CAPE VERDE",1955,6
"CHILE",1955,3166
"CHINA (MAINLAND)",1955,52099
"COLOMBIA",1955,3261
"COSTA RICA",1955,95
"CUBA",1955,1850
"CYPRUS",1955,123
"CZECHOSLOVAKIA",1955,27296
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1955,2005
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1955,925
"DEMOCRATIC REPUBLIC OF VIETNAM",1955,644
"DENMARK",1955,7388
"DJIBOUTI",1955,10
"DOMINICA",1955,1
"DOMINICAN REPUBLIC",1955,250
"EAST & WEST PAKISTAN",1955,2407
"ECUADOR",1955,327
"EGYPT",1955,2906
"EL SALVADOR",1955,126
"EQUATORIAL GUINEA",1955,10
"ETHIOPIA",1955,62
"FAEROE ISLANDS",1955,27
"FALKLAND ISLANDS (MALVINAS)",1955,82
"FEDERAL REPUBLIC OF GERMANY",1955,132583
"FEDERATION OF MALAYA-SINGAPORE",1955,3009
"FIJI",1955,47
"FINLAND",1955,2983
"FORMER DEMOCRATIC YEMEN",1955,666
"FORMER GERMAN DEMOCRATIC REPUBLIC",1955,64902
"FORMER PANAMA CANAL ZONE",1955,22
"FORMER YEMEN",1955,12
"FRANCE (INCLUDING MONACO)",1955,65236
"FRENCH EQUATORIAL AFRICA",1955,73
"FRENCH GUIANA",1955,4
"FRENCH POLYNESIA",1955,12
"FRENCH WEST AFRICA",1955,323
"GAMBIA",1955,4
"GHANA",1955,324
"GIBRALTAR",1955,16
"GREECE",1955,1626
"GREENLAND",1955,57
"GRENADA",1955,3
"GUADELOUPE",1955,22
"GUATEMALA",1955,250
"GUINEA BISSAU",1955,3
"GUYANA",1955,141
"HAITI",1955,73
"HONDURAS",1955,119
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1955,513
"HUNGARY",1955,9746
"ICELAND",1955,249
"INDIA",1955,23319
"INDONESIA",1955,5689
"IRAQ",1955,1119
"IRELAND",1955,3198
"ISLAMIC REPUBLIC OF IRAN",1955,4316
"ISRAEL",1955,1315
"ITALY (INCLUDING SAN MARINO)",1955,20008
"JAMAICA",1955,269
"JAPAN",1955,38733
"JORDAN",1955,104
"KENYA",1955,542
"KUWAIT",1955,504
"LAO PEOPLE S DEMOCRATIC REPUBLIC",1955,7
"LEBANON",1955,443
"LEEWARD ISLANDS",1955,9
"LIBERIA",1955,16
"LIBYAN ARAB JAMAHIRIYAH",1955,117
"LUXEMBOURG",1955,2698
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",1955,6
"MADAGASCAR",1955,83
"MALTA",1955,93
"MARTINIQUE",1955,31
"MAURITIUS",1955,35
"MEXICO",1955,10827
"MONGOLIA",1955,161
"MOROCCO",1955,971
"MOZAMBIQUE",1955,375
"MYANMAR (FORMERLY BURMA)",1955,388
"NEPAL",1955,12
"NETHERLAND ANTILLES AND ARUBA",1955,3532
"NETHERLANDS",1955,16646
"NEW CALEDONIA",1955,191
"NEW ZEALAND",1955,2564
"NICARAGUA",1955,107
"NIGERIA",1955,736
"NORWAY",1955,3116
"PACIFIC ISLANDS (PALAU)",1955,3
"PANAMA",1955,194
"PAPUA NEW GUINEA",1955,35
"PARAGUAY",1955,52
"PERU",1955,1672
"PHILIPPINES",1955,1806
"PLURINATIONAL STATE OF BOLIVIA",1955,254
"POLAND",1955,42090
"PORTUGAL",1955,1764
"QATAR",1955,114
"REPUBLIC OF CAMEROON",1955,64
"REPUBLIC OF KOREA",1955,1759
"REPUBLIC OF SOUTH VIETNAM",1955,318
"REUNION",1955,11
"RHODESIA-NYASALAND",1955,2749
"ROMANIA",1955,10041
"RWANDA-URUNDI",1955,6
"RYUKYU ISLANDS",1955,44
"SABAH",1955,15
"SAINT LUCIA",1955,3
"SAMOA",1955,3
"SAO TOME & PRINCIPE",1955,1
"SARAWAK",1955,110
"SAUDI ARABIA",1955,577
"SIERRA LEONE",1955,50
"SOLOMON ISLANDS",1955,3
"SOMALIA",1955,18
"SOUTH AFRICA",1955,22638
"SPAIN",1955,10996
"SRI LANKA",1955,454
"ST. PIERRE & MIQUELON",1955,10
"ST. VINCENT & THE GRENADINES",1955,2
"SUDAN",1955,253
"SURINAME",1955,85
"SWAZILAND",1955,1
"SWEDEN",1955,10673
"SWITZERLAND",1955,3718
"SYRIAN ARAB REPUBLIC",1955,449
"TAIWAN",1955,1965
"TANGANYIKA",1955,144
"THAILAND",1955,648
"TOGO",1955,11
"TONGA",1955,2
"TRINIDAD AND TOBAGO",1955,743
"TUNISIA",1955,436
"TURKEY",1955,3718
"UGANDA",1955,72
"UNITED KINGDOM",1955,157381
"UNITED STATES OF AMERICA",1955,742828
"URUGUAY",1955,1070
"USSR",1955,281797
"VENEZUELA",1955,16309
"YUGOSLAVIA (FORMER SOCIALIST FEDERAL REPUBLIC)",1955,6232
"ZANZIBAR",1955,8
