"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",2011,3338
"ALBANIA",2011,1429
"ALGERIA",2011,33048
"ANDORRA",2011,134
"ANGOLA",2011,8274
"ANGUILLA",2011,39
"ANTIGUA & BARBUDA",2011,140
"ARGENTINA",2011,52259
"ARMENIA",2011,1341
"ARUBA",2011,682
"AUSTRALIA",2011,106850
"AUSTRIA",2011,17731
"AZERBAIJAN",2011,9121
"BAHAMAS",2011,509
"BAHRAIN",2011,7813
"BANGLADESH",2011,17293
"BARBADOS",2011,417
"BELARUS",2011,17470
"BELGIUM",2011,27255
"BELIZE",2011,164
"BENIN",2011,1444
"BERMUDA",2011,121
"BHUTAN",2011,200
"BOSNIA & HERZEGOVINA",2011,6514
"BOTSWANA",2011,1139
"BRAZIL",2011,119829
"BRITISH VIRGIN ISLANDS",2011,48
"BRUNEI (DARUSSALAM)",2011,2644
"BULGARIA",2011,13457
"BURKINA FASO",2011,603
"BURUNDI",2011,66
"CAMBODIA",2011,1420
"CANADA",2011,146472
"CAPE VERDE",2011,168
"CAYMAN ISLANDS",2011,160
"CENTRAL AFRICAN REPUBLIC",2011,76
"CHAD",2011,147
"CHILE",2011,21610
"CHINA (MAINLAND)",2011,2654360
"COLOMBIA",2011,20870
"COMOROS",2011,37
"CONGO",2011,616
"COOK ISLANDS",2011,19
"COSTA RICA",2011,2111
"COTE D IVOIRE",2011,1977
"CROATIA",2011,5402
"CUBA",2011,9814
"CYPRUS",2011,2025
"CZECH REPUBLIC",2011,29154
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",2011,13099
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",2011,680
"DENMARK",2011,11084
"DJIBOUTI",2011,129
"DOMINICA",2011,35
"DOMINICAN REPUBLIC",2011,5789
"ECUADOR",2011,10529
"EGYPT",2011,59221
"EL SALVADOR",2011,1813
"EQUATORIAL GUINEA",2011,1671
"ERITREA",2011,162
"ESTONIA",2011,5074
"ETHIOPIA",2011,2107
"FAEROE ISLANDS",2011,155
"FALKLAND ISLANDS (MALVINAS)",2011,15
