"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",2013,2731
"ALBANIA",2013,1381
"ALGERIA",2013,36669
"ANDORRA",2013,130
"ANGOLA",2013,8895
"ANGUILLA",2013,37
"ANTIGUA & BARBUDA",2013,143
"ARGENTINA",2013,51773
"ARMENIA",2013,1499
"ARUBA",2013,235
"AUSTRALIA",2013,101518
"AUSTRIA",2013,17040
"AZERBAIJAN",2013,9720
"BAHAMAS",2013,764
"BAHRAIN",2013,8539
"BANGLADESH",2013,19010
"BARBADOS",2013,395
"BELARUS",2013,17390
"BELGIUM",2013,26444
"BELIZE",2013,140
"BENIN",2013,1585
"BERMUDA",2013,125
"BHUTAN",2013,251
"BONAIRE, SAINT EUSTATIUS, AND SABA",2013,88
"BOSNIA & HERZEGOVINA",2013,5978
"BOTSWANA",2013,1426
"BRAZIL",2013,137354
"BRITISH VIRGIN ISLANDS",2013,48
"BRUNEI (DARUSSALAM)",2013,2128
"BULGARIA",2013,10799
"BURKINA FASO",2013,834
"BURUNDI",2013,79
"CAMBODIA",2013,1528
"CANADA",2013,141031
"CAPE VERDE",2013,136
"CAYMAN ISLANDS",2013,146
"CENTRAL AFRICAN REPUBLIC",2013,81
"CHAD",2013,191
"CHILE",2013,22696
"CHINA (MAINLAND)",2013,2797384
"COLOMBIA",2013,24441
"COMOROS",2013,48
"CONGO",2013,842
"COOK ISLANDS",2013,19
"COSTA RICA",2013,2072
"COTE D IVOIRE",2013,2914
"CROATIA",2013,4786
"CUBA",2013,9490
"CURACAO",2013,1422
"CYPRUS",2013,1622
"CZECH REPUBLIC",2013,26909
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",2013,9820
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",2013,979
"DENMARK",2013,10508
"DJIBOUTI",2013,166
"DOMINICA",2013,36
"DOMINICAN REPUBLIC",2013,5847
"ECUADOR",2013,11180
"EGYPT",2013,58198
"EL SALVADOR",2013,1699
"EQUATORIAL GUINEA",2013,1408
"ERITREA",2013,182
"ESTONIA",2013,5425
"ETHIOPIA",2013,2900
"FAEROE ISLANDS",2013,185
"FALKLAND ISLANDS (MALVINAS)",2013,15
"FEDERATED STATES OF MICRONESIA",2013,39
"FIJI",2013,314
"FINLAND",2013,12877
"FRANCE (INCLUDING MONACO)",2013,91109
"FRENCH GUIANA",2013,172
"FRENCH POLYNESIA",2013,224
"GABON",2013,1440
"GAMBIA",2013,118
"GEORGIA",2013,2143
"GERMANY",2013,206521
"GHANA",2013,3987
"GIBRALTAR",2013,134
"GREECE",2013,18948
"GREENLAND",2013,151
"GRENADA",2013,83
"GUADELOUPE",2013,697
"GUATEMALA",2013,3718
"GUINEA",2013,627
"GUINEA BISSAU",2013,70
"GUYANA",2013,528
"HAITI",2013,656
"HONDURAS",2013,2472
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",2013,12273
"HUNGARY",2013,11492
"ICELAND",2013,518
"INDIA",2013,554882
"INDONESIA",2013,133686
"IRAQ",2013,45134
"IRELAND",2013,9505
"ISLAMIC REPUBLIC OF IRAN",2013,169015
"ISRAEL",2013,18290
"ITALY (INCLUDING SAN MARINO)",2013,94169
"JAMAICA",2013,2207
"JAPAN",2013,339928
"JORDAN",2013,6651
"KAZAKHSTAN",2013,71679
"KENYA",2013,3636
"KIRIBATI",2013,17
"KUWAIT",2013,26819
"KYRGYZSTAN",2013,2684
"LAO PEOPLE S DEMOCRATIC REPUBLIC",2013,430
"LATVIA",2013,1931
"LEBANON",2013,6158
"LESOTHO",2013,664
"LIBERIA",2013,261
"LIBYAN ARAB JAMAHIRIYAH",2013,15344
"LIECHTENSTEIN",2013,14
"LITHUANIA",2013,3447
"LUXEMBOURG",2013,2741
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",2013,322
"MACEDONIA",2013,2140
"MADAGASCAR",2013,850
"MALAWI",2013,334
"MALAYSIA",2013,64497
"MALDIVES",2013,298
"MALI",2013,280
"MALTA",2013,638
"MARSHALL ISLANDS",2013,28
"MARTINIQUE",2013,603
"MAURITANIA",2013,728
"MAURITIUS",2013,1110
"MEXICO",2013,133717
"MONGOLIA",2013,10568
"MONTENEGRO",2013,613
"MONTSERRAT",2013,14
"MOROCCO",2013,16112
"MOZAMBIQUE",2013,1096
"MYANMAR (FORMERLY BURMA)",2013,3507
"NAMIBIA",2013,717
"NAURU",2013,12
"NEPAL",2013,1810
"NETHERLANDS",2013,47247
"NEW CALEDONIA",2013,1157
"NEW ZEALAND",2013,9124
"NICARAGUA",2013,1241
"NIGER",2013,529
"NIGERIA",2013,26762
"NIUE",2013,2
"NORWAY",2013,15861
"OCCUPIED PALESTINIAN TERRITORY",2013,665
"OMAN",2013,16738
"PAKISTAN",2013,44812
"PALAU",2013,70
"PANAMA",2013,2923
"PAPUA NEW GUINEA",2013,1687
"PARAGUAY",2013,1482
"PERU",2013,15586
"PHILIPPINES",2013,26760
"PLURINATIONAL STATE OF BOLIVIA",2013,5159
"POLAND",2013,82432
"PORTUGAL",2013,12388
"QATAR",2013,23186
