"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1954,29
"ALBANIA",1954,137
"ALGERIA",1954,1134
"ANGOLA",1954,95
"ARGENTINA",1954,10032
"AUSTRALIA",1954,18517
"AUSTRIA",1954,6690
"BAHAMAS",1954,23
"BAHRAIN",1954,285
"BARBADOS",1954,31
"BELGIUM",1954,23404
"BELIZE",1954,8
"BERMUDA",1954,23
"BRAZIL",1954,8102
"BRUNEI (DARUSSALAM)",1954,98
"BULGARIA",1954,3110
"CANADA",1954,44482
"CAPE VERDE",1954,6
"CHILE",1954,3025
"CHINA (MAINLAND)",1954,44011
"COLOMBIA",1954,2627
"COSTA RICA",1954,111
"CUBA",1954,1624
"CYPRUS",1954,121
"CZECHOSLOVAKIA",1954,26296
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1954,1307
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1954,769
"DENMARK",1954,6982
"DJIBOUTI",1954,9
"DOMINICA",1954,1
"DOMINICAN REPUBLIC",1954,171
"EAST & WEST PAKISTAN",1954,2336
"ECUADOR",1954,263
"EGYPT",1954,3185
"EL SALVADOR",1954,128
"EQUATORIAL GUINEA",1954,8
"ETHIOPIA",1954,74
"FAEROE ISLANDS",1954,21
"FALKLAND ISLANDS (MALVINAS)",1954,80
"FEDERAL REPUBLIC OF GERMANY",1954,119855
"FEDERATION OF MALAYA-SINGAPORE",1954,2800
"FIJI",1954,43
"FINLAND",1954,2499
"FORMER DEMOCRATIC YEMEN",1954,1205
"FORMER GERMAN DEMOCRATIC REPUBLIC",1954,60224
"FORMER PANAMA CANAL ZONE",1954,23
"FORMER YEMEN",1954,11
"FRANCE (INCLUDING MONACO)",1954,61788
"FRENCH EQUATORIAL AFRICA",1954,74
"FRENCH GUIANA",1954,4
"FRENCH INDO-CHINA",1954,729
"FRENCH WEST AFRICA",1954,324
"GAMBIA",1954,4
"GHANA",1954,274
"GIBRALTAR",1954,15
"GREECE",1954,1388
"GREENLAND",1954,28
"GRENADA",1954,3
"GUADELOUPE",1954,20
"GUATEMALA",1954,203
"GUINEA BISSAU",1954,2
"GUYANA",1954,129
"HAITI",1954,59
"HONDURAS",1954,103
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1954,491
"HUNGARY",1954,9283
"ICELAND",1954,213
"INDIA",1954,21490
"INDONESIA",1954,4025
"IRAQ",1954,832
"IRELAND",1954,2482
"ISLAMIC REPUBLIC OF IRAN",1954,285
"ISRAEL",1954,1181
"ITALY (INCLUDING SAN MARINO)",1954,17733
"JAMAICA",1954,216
"JAPAN",1954,38913
"JORDAN",1954,69
"KENYA",1954,464
"KUWAIT",1954,383
"LEBANON",1954,357
"LEEWARD ISLANDS",1954,5
"LIBERIA",1954,28
"LIBYAN ARAB JAMAHIRIYAH",1954,82
"LUXEMBOURG",1954,2397
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",1954,6
"MADAGASCAR",1954,79
"MALTA",1954,84
"MARTINIQUE",1954,25
"MAURITIUS",1954,51
"MEXICO",1954,9901
"MONGOLIA",1954,133
"MOROCCO",1954,979
"MOZAMBIQUE",1954,312
"MYANMAR (FORMERLY BURMA)",1954,399
"NEPAL",1954,11
"NETHERLAND ANTILLES AND ARUBA",1954,4270
"NETHERLANDS",1954,15938
"NEW CALEDONIA",1954,142
"NEW ZEALAND",1954,2475
"NICARAGUA",1954,86
"NIGERIA",1954,702
"NORWAY",1954,2698
"PANAMA",1954,173
"PAPUA NEW GUINEA",1954,26
"PARAGUAY",1954,50
"PERU",1954,1702
"PHILIPPINES",1954,1455
"PLURINATIONAL STATE OF BOLIVIA",1954,215
"POLAND",1954,40279
"PORTUGAL",1954,1581
"QATAR",1954,166
"REPUBLIC OF CAMEROON",1954,63
"REPUBLIC OF KOREA",1954,1408
"REUNION",1954,10
"RHODESIA-NYASALAND",1954,2331
"ROMANIA",1954,9146
"RWANDA-URUNDI",1954,5
"RYUKYU ISLANDS",1954,40
"SABAH",1954,13
"SAINT LUCIA",1954,2
"SAMOA",1954,3
"SAO TOME & PRINCIPE",1954,1
"SARAWAK",1954,128
"SAUDI ARABIA",1954,338
"SIERRA LEONE",1954,34
"SOLOMON ISLANDS",1954,1
"SOMALIA",1954,13
"SOUTH AFRICA",1954,20171
"SPAIN",1954,10846
"SRI LANKA",1954,487
"ST. PIERRE & MIQUELON",1954,9
"ST. VINCENT & THE GRENADINES",1954,2
"SUDAN",1954,223
"SURINAME",1954,92
"SWAZILAND",1954,1
"SWEDEN",1954,9417
"SWITZERLAND",1954,3439
"SYRIAN ARAB REPUBLIC",1954,158
"TAIWAN",1954,1771
"TANGANYIKA",1954,140
"THAILAND",1954,560
"TOGO",1954,9
"TONGA",1954,2
"TRINIDAD AND TOBAGO",1954,774
"TUNISIA",1954,384
"TURKEY",1954,3667
"UGANDA",1954,60
"UNITED KINGDOM",1954,150849
"UNITED STATES OF AMERICA",1954,677689
"URUGUAY",1954,1020
"USSR",1954,248516
"VENEZUELA",1954,13975
"YUGOSLAVIA (FORMER SOCIALIST FEDERAL REPUBLIC)",1954,5442
"ZANZIBAR",1954,7
