"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"ALBANIA",1949,277
"ALGERIA",1949,248
"ARGENTINA",1949,4195
"AUSTRALIA",1949,10276
"AUSTRIA",1949,7254
"BAHRAIN",1949,1258
"BARBADOS",1949,1
"BELGIUM",1949,22048
"BRAZIL",1949,2012
"BRUNEI (DARUSSALAM)",1949,3130
"BULGARIA",1949,2034
"CANADA",1949,39583
"CHILE",1949,1604
"CHINA (MAINLAND)",1949,16187
"COLOMBIA",1949,1402
"CUBA",1949,50
"CZECHOSLOVAKIA",1949,20252
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1949,486
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1949,130
"DENMARK",1949,4608
"DOMINICAN REPUBLIC",1949,7
"EAST & WEST PAKISTAN",1949,332
"ECUADOR",1949,355
"EGYPT",1949,2037
"ETHIOPIA",1949,1
"FEDERAL REPUBLIC OF GERMANY",1949,85971
"FINLAND",1949,1347
"FORMER GERMAN DEMOCRATIC REPUBLIC",1949,31984
"FRANCE (INCLUDING MONACO)",1949,62521
"FRENCH INDO-CHINA",1949,294
"FRENCH WEST AFRICA",1949,6
"GREECE",1949,448
"GUATEMALA",1949,5
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1949,8
"HUNGARY",1949,5571
"ICELAND",1949,1
"INDIA",1949,16889
"INDONESIA",1949,5978
"IRAQ",1949,308
"IRELAND",1949,2278
"ISLAMIC REPUBLIC OF IRAN",1949,22935
"ISRAEL",1949,33
"ITALY (INCLUDING SAN MARINO)",1949,10859
"JAPAN (EXCLUDING THE RUYUKU ISLANDS)",1949,26865
"KUWAIT",1949,290
"LEBANON",1949,32
"LUXEMBOURG",1949,16
"MADAGASCAR",1949,1
"MEXICO",1949,7905
"MOROCCO",1949,297
"MOZAMBIQUE",1949,16
"MYANMAR (FORMERLY BURMA)",1949,28
"NETHERLANDS",1949,13783
"NEW ZEALAND",1949,1531
"NICARAGUA",1949,2
"NIGERIA",1949,405
"NORWAY",1949,2841
"PANAMA",1949,7
"PENINSULAR MALAYSIA",1949,333
"PERU",1949,1810
"PHILIPPINES",1949,87
"PLURINATIONAL STATE OF BOLIVIA",1949,79
"POLAND",1949,28776
"PORTUGAL",1949,1507
"QATAR",1949,71
"REPUBLIC OF KOREA",1949,594
"ROMANIA",1949,6309
"SAUDI ARABIA",1949,5018
"SOUTH AFRICA",1949,16537
"SPAIN",1949,9761
"SWEDEN",1949,7325
"SWITZERLAND",1949,2329
"SYRIAN ARAB REPUBLIC",1949,8
"TAIWAN",1949,1221
"THAILAND",1949,17
"TRINIDAD AND TOBAGO",1949,3753
"TUNISIA",1949,35
"TURKEY",1949,2175
"UNITED KINGDOM",1949,132409
"UNITED STATES OF AMERICA",1949,589517
"URUGUAY",1949,40
"USSR",1949,166250
"VENEZUELA",1949,7838
"YUGOSLAVIA (FORMER SOCIALIST FEDERAL REPUBLIC)",1949,5031
"ZIMBABWE",1949,1400
