"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1995,339
"ALBANIA",1995,569
"ALGERIA",1995,25987
"ANDORRA",1995,116
"ANGOLA",1995,2993
"ANGUILLA",1995,18
"ANTARCTIC FISHERIES",1995,1
"ANTIGUA & BARBUDA",1995,75
"ARGENTINA",1995,34896
"ARMENIA",1995,930
"ARUBA",1995,455
"AUSTRALIA",1995,76864
"AUSTRIA",1995,16303
"AZERBAIJAN",1995,9090
"BAHAMAS",1995,459
"BAHRAIN",1995,4041
"BANGLADESH",1995,6222
"BARBADOS",1995,226
"BELARUS",1995,16573
"BELGIUM",1995,30632
"BELIZE",1995,103
"BENIN",1995,362
"BERMUDA",1995,145
"BHUTAN",1995,68
"BOSNIA & HERZEGOVINA",1995,935
"BOTSWANA",1995,831
"BRAZIL",1995,70452
"BRITISH VIRGIN ISLANDS",1995,23
"BRUNEI (DARUSSALAM)",1995,1306
"BULGARIA",1995,15818
"BURKINA FASO",1995,171
"BURUNDI",1995,65
"CAMBODIA",1995,423
"CANADA",1995,127526
"CAPE VERDE",1995,33
"CAYMAN ISLANDS",1995,99
"CENTRAL AFRICAN REPUBLIC",1995,64
"CHAD",1995,30
"CHILE",1995,11384
"CHINA (MAINLAND)",1995,905450
"COLOMBIA",1995,16257
"COMOROS",1995,20
"CONGO",1995,427
"COOK ISLANDS",1995,11
"COSTA RICA",1995,1327
"COTE D IVOIRE",1995,1805
"CROATIA",1995,4632
"CUBA",1995,7011
"CYPRUS",1995,1468
"CZECH REPUBLIC",1995,33769
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1995,22610
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1995,579
"DENMARK",1995,15591
"DJIBOUTI",1995,83
"DOMINICA",1995,22
"DOMINICAN REPUBLIC",1995,4332
"ECUADOR",1995,6229
"EGYPT",1995,26104
"EL SALVADOR",1995,1371
"EQUATORIAL GUINEA",1995,35
"ERITREA",1995,255
"ESTONIA",1995,4778
"ETHIOPIA",1995,699
"FAEROE ISLANDS",1995,156
"FALKLAND ISLANDS (MALVINAS)",1995,12
"FEDERATED STATES OF MICRONESIA",1995,29
"FIJI",1995,208
"FINLAND",1995,14375
"FRANCE (INCLUDING MONACO)",1995,95217
"FRENCH GUIANA",1995,159
"FRENCH POLYNESIA",1995,117
"GABON",1995,1261
"GAMBIA",1995,54
"GEORGIA",1995,628
"GERMANY",1995,235645
"GHANA",1995,1439
"GIBRALTAR",1995,75
"GREECE",1995,21484
"GREENLAND",1995,137
"GRENADA",1995,41
"GUADELOUPE",1995,399
"GUATEMALA",1995,1954
"GUINEA",1995,352
"GUINEA BISSAU",1995,50
"GUYANA",1995,399
"HAITI",1995,246
"HONDURAS",1995,1058
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1995,8582
"HUNGARY",1995,16463
"ICELAND",1995,531
"INDIA",1995,221315
"INDONESIA",1995,61342
"IRAQ",1995,20275
"IRELAND",1995,8991
"ISLAMIC REPUBLIC OF IRAN",1995,74432
"ISRAEL",1995,13935
"ITALY (INCLUDING SAN MARINO)",1995,117394
"JAMAICA",1995,2503
"JAPAN",1995,322729
"JORDAN",1995,3697
"KAZAKHSTAN",1995,46132
"KENYA",1995,2060
"KIRIBATI",1995,8
"KUWAIT",1995,14950
"KYRGYZSTAN",1995,1235
"LAO PEOPLE S DEMOCRATIC REPUBLIC",1995,95
"LATVIA",1995,2575
"LEBANON",1995,3703
"LESOTHO",1995,466
"LIBERIA",1995,89
"LIBYAN ARAB JAMAHIRIYAH",1995,12550
"LITHUANIA",1995,4419
"LUXEMBOURG",1995,2268
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",1995,336
"MACEDONIA",1995,2956
"MADAGASCAR",1995,345
"MALAWI",1995,251
"MALAYSIA",1995,33033
"MALDIVES",1995,68
"MALI",1995,128
"MALTA",1995,579
"MARSHALL ISLANDS",1995,18
"MARTINIQUE",1995,447
"MAURITANIA",1995,293
"MAURITIUS",1995,499
"MEXICO",1995,90760
"MONGOLIA",1995,2160
"MONTSERRAT",1995,9
"MOROCCO",1995,8283
"MOZAMBIQUE",1995,304
"MYANMAR (FORMERLY BURMA)",1995,1898
"NAMIBIA",1995,445
"NAURU",1995,29
"NEPAL",1995,555
"NETHERLAND ANTILLES",1995,1425
"NETHERLANDS",1995,48714
"NEW CALEDONIA",1995,566
"NEW ZEALAND",1995,7399
"NICARAGUA",1995,758
"NIGER",1995,221
"NIGERIA",1995,9774
"NIUE",1995,2
"NORWAY",1995,9119
"OCCUPIED PALESTINIAN TERRITORY",1995,258
"OMAN",1995,4335
"PAKISTAN",1995,23039
"PALAU",1995,64
"PANAMA",1995,814
"PAPUA NEW GUINEA",1995,562
"PARAGUAY",1995,1081
"PERU",1995,6513
"PHILIPPINES",1995,16556
"PLURINATIONAL STATE OF BOLIVIA",1995,2686
"POLAND",1995,93868
"PORTUGAL",1995,14145
"QATAR",1995,8669
"REPUBLIC OF CAMEROON",1995,1153
"REPUBLIC OF KOREA",1995,102201
"REPUBLIC OF MOLDOVA",1995,3052
"REUNION",1995,481
"ROMANIA",1995,34374
"RUSSIAN FEDERATION",1995,444907
"RWANDA",1995,126
"SAINT HELENA",1995,3
"SAINT LUCIA",1995,85
"SAMOA",1995,32
"SAO TOME & PRINCIPE",1995,13
"SAUDI ARABIA",1995,64129
"SENEGAL",1995,953
"SEYCHELLES",1995,54
"SIERRA LEONE",1995,109
"SINGAPORE",1995,11501
"SLOVAKIA",1995,11485
"SLOVENIA",1995,3928
"SOLOMON ISLANDS",1995,39
"SOMALIA",1995,161
"SOUTH AFRICA",1995,98789
"SPAIN",1995,65888
"SRI LANKA",1995,1610
"ST. KITTS-NEVIS",1995,35
"ST. PIERRE & MIQUELON",1995,19
"ST. VINCENT & THE GRENADINES",1995,35
"SUDAN",1995,1172
"SURINAME",1995,563
"SWAZILAND",1995,124
"SWEDEN",1995,15041
"SWITZERLAND",1995,10697
"SYRIAN ARAB REPUBLIC",1995,11362
"TAIWAN",1995,47545
"TAJIKISTAN",1995,668
"THAILAND",1995,43947
"TOGO",1995,260
"TONGA",1995,26
"TRINIDAD AND TOBAGO",1995,4642
"TUNISIA",1995,4291
"TURKEY",1995,46898
"TURKMENISTAN",1995,9272
"TURKS AND CAICOS ISLANDS",1995,13
"TUVALU",1995,2
"UGANDA",1995,256
"UKRAINE",1995,121610
"UNITED ARAB EMIRATES",1995,19264
"UNITED KINGDOM",1995,146746
"UNITED REPUBLIC OF TANZANIA",1995,969
"UNITED STATES OF AMERICA",1995,1399760
"URUGUAY",1995,1252
"UZBEKISTAN",1995,28207
"VANUATU",1995,18
"VENEZUELA",1995,36365
"VIET NAM",1995,7933
"YEMEN",1995,2854
"YUGOSLAVIA (MONTENEGRO & SERBIA)",1995,11066
"ZAMBIA",1995,592
"ZIMBABWE",1995,4126
